                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.98145,                0.81409,                 1.0273,                0.12745,                0.16156,                0.11337,                0.03922,                 2.4005,                  3.344,                 1.8766,             0.00022274,             0.00022274,             0.00022274
                     76,                 1.0168,                0.83264,                 1.0388,                0.29111,                0.15293,                0.12161,                0.04551,                 2.4152,                 3.3279,                 1.8859,              0.0002145,              0.0002145,              0.0002145
                     77,                0.97721,                0.78173,                 1.0179,                0.49858,                0.13703,                0.12526,                0.04573,                 2.4703,                 3.3427,                 1.9722,             0.00020625,             0.00020625,             0.00020625
                     78,                0.96047,                0.78783,                 1.0267,                0.46519,                0.13352,                0.11739,                0.04219,                 2.4817,                 3.4136,                 1.9411,               0.000198,               0.000198,               0.000198
                     79,                0.95927,                0.78394,                 1.0202,                0.50038,                 0.1586,                0.12993,                0.04988,                 2.3948,                 3.2629,                 1.8668,             0.00018976,             0.00018976,             0.00018976
                     80,                0.98938,                0.78327,                 1.0166,                0.54227,                0.11773,                0.11294,                0.04048,                 2.4209,                  3.393,                 2.0077,             0.00018151,             0.00018151,             0.00018151
                     81,                0.96734,                 0.7845,                 1.0161,                0.50606,                0.14378,                0.12586,                0.04311,                 2.4725,                 3.4815,                 1.9857,             0.00017326,             0.00017326,             0.00017326
                     82,                0.94038,                0.75916,                 1.0068,                 0.4948,                0.11983,                0.12497,                0.04596,                 2.4513,                 3.5357,                 1.9766,             0.00016502,             0.00016502,             0.00016502
                     83,                0.97366,                0.77451,                 1.0089,                0.18889,                0.17579,                0.14058,                0.04862,                 2.4457,                    3.4,                 1.9562,             0.00015677,             0.00015677,             0.00015677
                     84,                0.93606,                0.73958,                 1.0008,                0.48099,                0.15932,                0.13154,                 0.0449,                 2.4522,                 3.4008,                 1.9637,             0.00014852,             0.00014852,             0.00014852
                     85,                0.92368,                0.73267,                 1.0027,                0.52548,                0.13144,                0.11674,                0.04194,                 2.4602,                 3.4668,                 1.9806,             0.00014028,             0.00014028,             0.00014028
