                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                 0.7784,                0.76291,                 1.0259,                 0.1951,                0.15568,                0.11964,                 0.0414,                 2.4557,                 3.5254,                 1.9693,             0.00011554,             0.00011554,             0.00011554
                     89,                0.75326,                0.75484,                 1.0099,                0.21984,                0.16134,                0.12425,                0.04585,                 2.4833,                 3.4157,                 2.0143,             0.00010729,             0.00010729,             0.00010729
                     90,                0.74706,                0.72971,                 0.9861,                0.21725,                0.15677,                0.13081,                0.04686,                 2.4711,                 3.5066,                  2.015,             9.9044e-05,             9.9044e-05,             9.9044e-05
                     91,                0.73754,                0.70116,                 1.0105,                0.21817,                0.15442,                0.12331,                0.04697,                 2.4662,                 3.4949,                  2.021,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     92,                0.77395,                0.76511,                 1.0254,                0.19797,                0.17175,                0.12023,                0.04399,                 2.4844,                  3.482,                 2.0521,              8.255e-05,              8.255e-05,              8.255e-05
                     93,                0.73133,                0.71259,                 1.0032,                  0.178,                0.16186,                0.11432,                0.04197,                  2.481,                 3.5012,                 2.0311,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     94,                0.76249,                 0.7381,                  1.018,                0.15525,                 0.1545,                 0.1144,                0.04009,                  2.513,                 3.5498,                 2.0545,             6.6057e-05,             6.6057e-05,             6.6057e-05
                     95,                0.75269,                0.72619,                 1.0233,                0.22385,                0.11526,                0.11526,                0.03999,                 2.5062,                 3.5395,                 2.0399,              5.781e-05,              5.781e-05,              5.781e-05
                     96,                 0.7269,                0.68621,                0.99704,                0.17703,                0.13312,                0.11439,                  0.041,                 2.4804,                 3.5448,                 2.0281,             4.9564e-05,             4.9564e-05,             4.9564e-05
                     97,                0.74391,                0.71415,                 1.0083,                0.16402,                0.15981,                0.11623,                0.04183,                 2.4797,                 3.5809,                 2.0221,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     98,                0.73049,                0.71171,                0.98675,                0.15012,                0.15693,                0.11297,                 0.0396,                 2.4811,                 3.5781,                 2.0354,              3.307e-05,              3.307e-05,              3.307e-05
                     99,                0.72397,                0.69768,                0.99501,                0.13984,                0.16415,                0.11352,                0.03978,                 2.4861,                 3.5594,                 2.0273,             2.4823e-05,             2.4823e-05,             2.4823e-05
